TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none,ba3edda7-8940-4ca4-97ba-826398d5909f,ed6f1cbeeccb801dfdcff6f077074069d53b9132e185f3cbec3cff3e166f3a2e
,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,7b258ac3cd8bfda7fc1455bec3f448cef43b1f11d64ebec0378c2fca591885d0
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity,53b46bd7-a537-402b-b249-0b4074a8faae,4c6b7b9ebf9e8433806511fb4a3533f525779d75709b9427f20f012b5c149aba
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things,4adb6781-1614-424e-8f77-fe59ffca2209,ce8ed2f24c638e4f3cb7e5895d2d6db4e8d5ed08355759cfb094ad53e6f907bc
,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation,770f817a-9d9a-4772-9a91-e66dd9d03470,abca10dcad4354f963b4c7d61ea2a315fe6f56162507585c376dce1a16be6f8a
,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique,78810fa6-a7ef-4d83-bf57-caf49db4ee69,cd380e65d9ed5a6dffc991be9ceb3b49319106a9b1e6744487481147010f0ee5
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience,f2957ded-022c-4b07-92c6-b345d4816a67,5da87fe57b4a75e6299cbbc8f6f7cb6ad27ec75693aeffdfe0332f2cd0bc3b4b
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant,09395e76-19ed-4852-8748-795ee7496a8e,6ff83a149d59412a493078a97182366e1bd8ddf0a361f9c5b4493d7f10793f8e
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous,4d94d4f7-9b69-4e43-9db1-1fe83df92857,f53471e862c567612e7caea8fdeb697ff72d8346ebb6dc9c408ba788847b9586
,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable,d35a7514-8996-42fb-a5f2-5a603ec679c5,a23ea5b15a8b7600cf2265c450c399600e08e9ac4b60f40c765842ce15ff3c5a
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination,92984fa0-310b-4377-8a10-15965d044383,0de3cce81c3ed5320ef43dfa7adb0d9c5546e443069a8eb7f1f04fc1ee86e517
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none; clothing: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,ca31461cbd798383350c29125dbd6970230797f53658ca414d8cd751fdeafd84
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible,71a0aa22-d111-43b7-8484-43d87310bc42,fb8ad3873742ddf59839abb687ab2e7e34f3f61fa192452117477aef634fabd0
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance,e493e3fb-a8a0-455a-854f-0f6474bbc69f,c10c51fccf37602f40b19defa02518ba7467af2244afb8bfb9ca2cc02bae681c
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothing: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ,942f8347-9932-4331-bd15-d0f3a048b54f,e63f5579db34e5812d76e64aad6ceb20cda9415400122f0490d8949182f99a50
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothing: yellow black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive,0f1af056-2548-4407-bed4-abc11deae05d,99ca27721186be41c1bfb55c681fdfcc745292ecf5bb179755e6bb5e01d0f9c4
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothing: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness,0129e7a5-e3d0-4675-92d0-1a1e55d11612,19676337c73df4b2a0b2066c2640c7a21de7d36f3a1902938ee857002ebac3ca
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothing: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience,01d4ce96-818e-44b1-8813-68a7d34b35ba,7a6d8c2569241b16936389a6afb0493d9e2bb915df1310f6be4c6e39fbcb50a2
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothing: kente; accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy,3a925f27-35f6-4dbf-9960-c6527fae5f3e,6224be939c5feea68bebd7a2c47ed7bc4da2fc3fed5af6579d05365afba20115
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothing:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure,71f335a6-5a4f-4410-9cea-179336f0e498,596068ef73888504bf60bc4102327f488c7eb8285fce26e9f0934a16ba2322dd
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothing: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist,35b11a31-5b92-49f4-8fb1-30f255d22054,279528db9af637d8a6150c1fdc88822feefca20285fdad61becb7d5b8111222f
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothing: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,2dbf9f5670305d40f853b3cb07d2f081589347da12bc1b86ab3bd80728347b24
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothing:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,b13e9b7c7ba95516864c9a03f8ec49196663104e65a78844dbba62b6c2a918f3
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothing: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,4827ebd4dfe5bd25394f38074b5a7826006510cdb0158edf693caa353e02214b
,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food,3344a73c-f15e-4afd-a1b2-3199e27eb08f,07810ad22815afff6b8de3d51eeacb6188afb6018c2ff77638a7961a203f8f36
,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food,4f31fd99-4918-42a9-a112-fa60ef36d5c6,f1cd2e7874f65f14d8140bc364aaa139ed9e48e6648eda4e14b7163091258934
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food,5e1105d9-e485-462d-a5bf-1eb931976b13,199d7ceeffebb922b5b0e76035363ead5b9cc5d44ed482efa6f53557ad2814ae
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food,054dffd1-cdff-417b-b6c2-a679dabd087b,c0dbc92df0fd755d91c6434ace42de14698a5d70eccc2d8710fda58bb1e1bd6c
,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy,caacabe1-0abc-43af-92e2-2231248bff93,2e0250226ec30c32939d3071dc5f5f708fdcdcb892a8b5be1f5eeb39095906a6
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,1496c04622850bdf554fdf40bae0a890c7e8c2a59794b1f47cd9f5f608bfda1d
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies,683f0d27-3cb4-4948-b1b5-09f10bee575a,24bcbfb8197dc7b51ed9caa3a1cd41508384c9955fa7434ae2febe3d54efc6e3
,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,76c6d0b9deb2f0955f47293b6b7a58b073cd91d37fc01711c4fb3092647c1702
,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying,67f7da93-3925-4def-b660-58f558c14a19,d0ea89455755ca395092c9fb1de0d29309cea611dbab50bf4a6eabc236f87f01
,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,43ffeda082859c3798cb0b72a2bc9096e74243169ad54667aafbe069cf552ee9
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens,d24aefff-c9fc-4ea9-a7cf-1b741076c822,c910df776d8747d11b411a6e0ba992a6617fdb216d96d9cc49d5d539f0d18057
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes,ee86ef77-4793-411a-88d3-ea54d84f6b24,6798cb9a6750dbec4578a51d3ba3aea8252a67172d4fd75571c4d7be1f011e28
,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money,102c4cdb-f812-44fd-bf47-5065284c6075,5968430d3b6b7594a7de84831a1ca079bad7003ff9e40372f74d262d629d42e3
,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food,c4071af3-b49e-4ad6-898b-7828f90465fb,59ecab7992985a73ffe703ed6cdacd7c4b16049a0edda4f9b954e32812dfbd08
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water,427ea0f5-30a3-4d70-a5bd-a6106409b83c,49934823682073628b391885c17921e59d8efafa1e748c0906cb5ff477862333
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love,9dfe30b4-c71a-471c-8091-f5c4a238eed8,f8a58989657aefcf87b02a559e50c582667eb4a5f8c15c04a8640f97c59d2846
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls,11450acd-f0d7-406f-bc18-bdb680404845,80cc916b3030527daa175635b63bc02c958cc4a71ba73c4dd9706f8505c102ff
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy,63bda633-bfca-4b28-823f-7772936b4103,3573b69945f19cc37cf614e35cc65af27104b556cbeaae4fe6ebd7bd67e61a86
,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height,4f5898d9-fc99-4053-a56c-b2ec1ef41347,a91fb38bb6b3f19c54130e55845b739dee59ff2e47de109aa2e96006ffab24ee
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,e8aa3ecdd40a98269424a061b96507ec9f251c40d1108019ff015c8c9fa60b3f
,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strength: powerful; weakness: sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,5f85b2a3a301220eff4085fbd5d3d2fc5424726697044a5170ea76132c12dbc7
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strength: calculative; weakness: public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,36a3e8dd6768ab5c832082a53d93fbdcbf9972864f6058bd8a64a4b050a5fe92
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strength: free spirit; weakness: blind ,24b537fa-59d3-11ed-9b6a-0242ac120002,61a82563f7b1d461d7e40aaad4770d5f52befa771f40e764c9954d85f5c65188
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strength: adaptation; weakness: fluency,064c7b84-59d3-11ed-9b6a-0242ac120002,8c81231109d451a5fffb5977636f62b045431a8a84e05654189e4a578ef4aad3
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strength: cool headed; weakness: pressure,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,97b019e2052835079fc70994a6930e4d9cfc8216fdead5dd504287b42c26df39
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strength: confidence; weakness: endurance,2f1a1724-59d3-11ed-9b6a-0242ac120002,d45cb974a973e9399aaf00b18a7783be70d169878c9a4ff1814cf5b96c8438d8
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship,d04553b2-59d7-11ed-9b6a-0242ac120002,89b1f13861032cd2625524dcb0d3f88029cba40be284ac7e9444018dc696a0dd
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expression: cold; strength: cleaniness; weakness: perfectionist,5d19795e-59d2-11ed-9b6a-0242ac120002,4e25a1086a4fecda9f5ad916460d92bd1d5ba6d54e4ea7f3dc1a5cd985af9b8f
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer,29c764ca-59d3-11ed-9b6a-0242ac120002,c01be68b9ffaf870efb3c80880b158afdc0145059c0864e322ff356395dc59cf
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger,ee671c4a-59d2-11ed-9b6a-0242ac120002,973fccf87fc515370037bc62cba1511c0e760513c2509ca2fd8baa959337319c
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl,380e4990-59d3-11ed-9b6a-0242ac120002,1ef44128b65e3c00d79d0a4e389cb37f9b4964c0cac31c2429116935590645dc
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,6349bc1f165c732f934b82a80f8e2548fd97fbdb235440c32c6cbca5eb4af207
,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun,82bba87c-59d1-11ed-9b6a-0242ac120002,ec6a22b59f09abfc04db5a929e3bfc82d730762ce75f3620a58909191b72d76e
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie,faa4b530-59d2-11ed-9b6a-0242ac120002,8be5f17f774dbb694463d68715e966dbc71f647aba74bd9930eccdd1db85ee52
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational,fb6e8222-59d0-11ed-9b6a-0242ac120002,2d2e3c06e80a86be1cdf04875f2893be44983028ecd0eac39a91979a6bcc9701
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia,169f93a0-59d2-11ed-9b6a-0242ac120002,907ce04b66b443aace69cbd220552586b1f4bb414cdc8892911456cf2ad66e6a
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness,e7f26b26-59d2-11ed-9b6a-0242ac120002,f67b873312251daa405be787ae27faa7c26d506caedcca4b4fe739007a5e8476
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist,169f93a0-59d2-11ed-9b6a-0242ac120002,61840b914e06da9a51b207ef54d934b0c974b01f690b191e2048803fbf8ec4e0
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying,f3f11fd0-59d2-11ed-9b6a-0242ac120002,0863d7413c4e1aacd18949ca00d913974d378cccf8701cf61622f58381e3510a
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride,00f6589e-59d3-11ed-9b6a-0242ac120002,93979645ccede41f4ebce7e719f81db539ff88c44f64f80552842e660e665f0c
,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,5f97917eef117afb50bf659500a3f432c95537a832decd3fb10abf13d28f7024
,82,bolanle-pepper-dem,bolanle pepper dem,A lady that loves to show off.,Male,hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender,46966104-775b-4443-90bb-b35afd121653,141b4a48e68d450b724925d17b0d6e7d236dadb3dc54acc5b0751235d1ae23e1
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated,70828783-ac38-48cf-b966-cfebc92ebd86,830f50363be1ea328519a22bd17f133dfd4bb4503c016a47d550e11df0644506
